periodo;codigo;indice;valor
200703;15516;llegada_pax_nacional;0
200703;17001;llegada_pax_nacional;709
200703;18001;llegada_pax_nacional;4
200703;18753;llegada_pax_nacional;0
200703;19001;llegada_pax_nacional;0
200703;20001;llegada_pax_nacional;251
200703;20011;llegada_pax_nacional;0
200703;20060;llegada_pax_nacional;0
200703;20250;llegada_pax_nacional;0
200703;20400;llegada_pax_nacional;0
200703;20770;llegada_pax_nacional;0
200703;23001;llegada_pax_nacional;2295
200703;23068;llegada_pax_nacional;0
200703;23189;llegada_pax_nacional;0
200703;23466;llegada_pax_nacional;0
200703;25572;llegada_pax_nacional;0
200703;27001;llegada_pax_nacional;3601
200703;27006;llegada_pax_nacional;374
200703;27075;llegada_pax_nacional;502
200703;27077;llegada_pax_nacional;0
200703;27205;llegada_pax_nacional;291
200703;27495;llegada_pax_nacional;218
200703;41001;llegada_pax_nacional;101
200703;41298;llegada_pax_nacional;5
200703;44001;llegada_pax_nacional;137
200703;44430;llegada_pax_nacional;0
200703;44560;llegada_pax_nacional;0
200703;44847;llegada_pax_nacional;0
200703;47001;llegada_pax_nacional;1953
200703;47245;llegada_pax_nacional;0
200703;47318;llegada_pax_nacional;0
200703;50001;llegada_pax_nacional;3
200703;50568;llegada_pax_nacional;0
200703;50573;llegada_pax_nacional;0
200703;52001;llegada_pax_nacional;304
200703;52022;llegada_pax_nacional;0
200703;52835;llegada_pax_nacional;37
200703;54001;llegada_pax_nacional;1040
200703;54498;llegada_pax_nacional;0
200703;63470;llegada_pax_nacional;0
200703;66001;llegada_pax_nacional;2810
200703;68001;llegada_pax_nacional;1797
200703;68081;llegada_pax_nacional;30
200703;68669;llegada_pax_nacional;4534
200703;70215;llegada_pax_nacional;314
200703;70221;llegada_pax_nacional;0
200703;70713;llegada_pax_nacional;0
200703;70717;llegada_pax_nacional;31
200703;70823;llegada_pax_nacional;0
200703;73001;llegada_pax_nacional;481
200703;73168;llegada_pax_nacional;0
200703;73275;llegada_pax_nacional;4
